Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Duke,Siena,1,16,0.994557592044668,0.005442407955332018
Round of 64,1,2,Ohio State,Texas Christian,8,9,0.8011914247138923,0.19880857528610774
Round of 64,1,3,St. John's (NY),Northern Iowa,5,12,0.8927426939977364,0.10725730600226357
Round of 64,1,4,Kansas,California Baptist,4,13,0.9540582109917587,0.04594178900824131
Round of 64,1,5,Louisville,South Florida,6,11,0.8595631047465271,0.14043689525347292
Round of 64,1,6,Michigan State,North Dakota State,3,14,0.9643766141212189,0.03562338587878111
Round of 64,1,7,UCLA,UCF,7,10,0.8278916771659433,0.17210832283405675
Round of 64,1,8,Connecticut,Furman,2,15,0.9735929759326545,0.02640702406734552
Round of 64,1,9,Florida,Prairie View A&M,1,16,0.996006110321345,0.003993889678654994
Round of 64,1,10,Clemson,Iowa,8,9,0.6407555130549697,0.3592444869450303
Round of 64,1,11,Vanderbilt,McNeese,5,12,0.9502187557987234,0.04978124420127661
Round of 64,1,12,Nebraska,Troy,4,13,0.9487910748806778,0.05120892511932218
Round of 64,1,13,North Carolina,Virginia Commonwealth,6,11,0.8276685081124839,0.17233149188751606
Round of 64,1,14,Illinois,Pennsylvania,3,14,0.9785772744888875,0.02142272551111246
Round of 64,1,15,Saint Mary's,Texas A&M,7,10,0.761935531623045,0.23806446837695505
Round of 64,1,16,Houston,Idaho,2,15,0.9773598301716285,0.02264016982837147
Round of 64,1,17,Arizona,Long Island University,1,16,0.9942125028476899,0.005787497152310084
Round of 64,1,18,Villanova,Utah State,8,9,0.6113209267565066,0.3886790732434934
Round of 64,1,19,Wisconsin,High Point,5,12,0.8917093169218804,0.10829068307811962
Round of 64,1,20,Arkansas,Hawaii,4,13,0.9615474663798945,0.03845253362010548
Round of 64,1,21,Brigham Young,Texas,6,11,0.8275497890160304,0.17245021098396962
Round of 64,1,22,Gonzaga,Kennesaw State,3,14,0.9654608623566941,0.03453913764330585
Round of 64,1,23,Miami (FL),Missouri,7,10,0.8259718593201161,0.17402814067988392
Round of 64,1,24,Purdue,Queens (NC),2,15,0.9876916401690082,0.012308359830991766
Round of 64,1,25,Michigan,Howard,1,16,0.9947513504098969,0.005248649590103072
Round of 64,1,26,Georgia,Saint Louis,8,9,0.791664747829963,0.208335252170037
Round of 64,1,27,Texas Tech,Akron,5,12,0.9040518292619272,0.09594817073807282
Round of 64,1,28,Alabama,Hofstra,4,13,0.940194741205874,0.059805258794126015
Round of 64,1,29,Tennessee,Miami (OH),6,11,0.9433520091935468,0.05664799080645322
Round of 64,1,30,Virginia,Wright State,3,14,0.9608338337982575,0.039166166201742514
Round of 64,1,31,Kentucky,Santa Clara,7,10,0.8149505470283506,0.18504945297164943
Round of 64,1,32,Iowa State,Tennessee State,2,15,0.9878684213720087,0.012131578627991302
Round of 32,2,1,Duke,Ohio State,1,8,0.994557592044668,0.8011914247138923
Round of 32,2,2,St. John's (NY),Kansas,5,4,0.8927426939977364,0.9540582109917587
Round of 32,2,3,Louisville,Michigan State,6,3,0.8595631047465271,0.9643766141212189
Round of 32,2,4,UCLA,Connecticut,7,2,0.8278916771659433,0.9735929759326545
Round of 32,2,5,Florida,Clemson,1,8,0.996006110321345,0.6407555130549697
Round of 32,2,6,Vanderbilt,Nebraska,5,4,0.9502187557987234,0.9487910748806778
Round of 32,2,7,North Carolina,Illinois,6,3,0.8276685081124839,0.9785772744888875
Round of 32,2,8,Saint Mary's,Houston,7,2,0.761935531623045,0.9773598301716285
Round of 32,2,9,Arizona,Villanova,1,8,0.9942125028476899,0.6113209267565066
Round of 32,2,10,Wisconsin,Arkansas,5,4,0.8917093169218804,0.9615474663798945
Round of 32,2,11,Brigham Young,Gonzaga,6,3,0.8275497890160304,0.9654608623566941
Round of 32,2,12,Miami (FL),Purdue,7,2,0.8259718593201161,0.9876916401690082
Round of 32,2,13,Michigan,Georgia,1,8,0.9947513504098969,0.791664747829963
Round of 32,2,14,Texas Tech,Alabama,5,4,0.9040518292619272,0.940194741205874
Round of 32,2,15,Tennessee,Virginia,6,3,0.9433520091935468,0.9608338337982575
Round of 32,2,16,Kentucky,Iowa State,7,2,0.8149505470283506,0.9878684213720087
Sweet 16,3,1,Duke,Kansas,1,4,0.994557592044668,0.9540582109917587
Sweet 16,3,2,Michigan State,Connecticut,3,2,0.9643766141212189,0.9735929759326545
Sweet 16,3,3,Florida,Vanderbilt,1,5,0.996006110321345,0.9502187557987234
Sweet 16,3,4,Illinois,Houston,3,2,0.9785772744888875,0.9773598301716285
Sweet 16,3,5,Arizona,Arkansas,1,4,0.9942125028476899,0.9615474663798945
Sweet 16,3,6,Gonzaga,Purdue,3,2,0.9654608623566941,0.9876916401690082
Sweet 16,3,7,Michigan,Alabama,1,4,0.9947513504098969,0.940194741205874
Sweet 16,3,8,Virginia,Iowa State,3,2,0.9608338337982575,0.9878684213720087
Elite 8,4,1,Duke,Connecticut,1,2,0.994557592044668,0.9735929759326545
Elite 8,4,2,Florida,Illinois,1,3,0.996006110321345,0.9785772744888875
Elite 8,4,3,Arizona,Purdue,1,2,0.9942125028476899,0.9876916401690082
Elite 8,4,4,Michigan,Iowa State,1,2,0.9947513504098969,0.9878684213720087
Final 4,5,1,Duke,Florida,1,1,0.994557592044668,0.996006110321345
Final 4,5,2,Arizona,Michigan,1,1,0.9942125028476899,0.9947513504098969
Championship,6,1,Florida,Michigan,1,1,0.996006110321345,0.9947513504098969
Champion,7,1,Florida,---,1,---,0.996006110321345,---
