Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Duke,Siena,1,16,1,16
Round of 64,1,2,Ohio State,Texas Christian,8,9,8,9
Round of 64,1,3,St. John's (NY),Northern Iowa,5,12,5,12
Round of 64,1,4,Kansas,California Baptist,4,13,4,13
Round of 64,1,5,Louisville,South Florida,6,11,6,11
Round of 64,1,6,Michigan State,North Dakota State,3,14,3,14
Round of 64,1,7,UCLA,UCF,7,10,7,10
Round of 64,1,8,Connecticut,Furman,2,15,2,15
Round of 64,1,9,Florida,Prairie View A&M,1,16,1,16
Round of 64,1,10,Clemson,Iowa,8,9,8,9
Round of 64,1,11,Vanderbilt,McNeese,5,12,5,12
Round of 64,1,12,Nebraska,Troy,4,13,4,13
Round of 64,1,13,North Carolina,Virginia Commonwealth,6,11,6,11
Round of 64,1,14,Illinois,Pennsylvania,3,14,3,14
Round of 64,1,15,Saint Mary's,Texas A&M,7,10,7,10
Round of 64,1,16,Houston,Idaho,2,15,2,15
Round of 64,1,17,Arizona,Long Island University,1,16,1,16
Round of 64,1,18,Villanova,Utah State,8,9,8,9
Round of 64,1,19,Wisconsin,High Point,5,12,5,12
Round of 64,1,20,Arkansas,Hawaii,4,13,4,13
Round of 64,1,21,Brigham Young,Texas,6,11,6,11
Round of 64,1,22,Gonzaga,Kennesaw State,3,14,3,14
Round of 64,1,23,Miami (FL),Missouri,7,10,7,10
Round of 64,1,24,Purdue,Queens (NC),2,15,2,15
Round of 64,1,25,Michigan,Howard,1,16,1,16
Round of 64,1,26,Georgia,Saint Louis,8,9,8,9
Round of 64,1,27,Texas Tech,Akron,5,12,5,12
Round of 64,1,28,Alabama,Hofstra,4,13,4,13
Round of 64,1,29,Tennessee,Miami (OH),6,11,6,11
Round of 64,1,30,Virginia,Wright State,3,14,3,14
Round of 64,1,31,Kentucky,Santa Clara,7,10,7,10
Round of 64,1,32,Iowa State,Tennessee State,2,15,2,15
Round of 32,2,1,Duke,Ohio State,1,8,1,8
Round of 32,2,2,St. John's (NY),Kansas,5,4,5,4
Round of 32,2,3,Louisville,Michigan State,6,3,6,3
Round of 32,2,4,UCLA,Connecticut,7,2,7,2
Round of 32,2,5,Florida,Clemson,1,8,1,8
Round of 32,2,6,Vanderbilt,Nebraska,5,4,5,4
Round of 32,2,7,North Carolina,Illinois,6,3,6,3
Round of 32,2,8,Saint Mary's,Houston,7,2,7,2
Round of 32,2,9,Arizona,Villanova,1,8,1,8
Round of 32,2,10,Wisconsin,Arkansas,5,4,5,4
Round of 32,2,11,Brigham Young,Gonzaga,6,3,6,3
Round of 32,2,12,Miami (FL),Purdue,7,2,7,2
Round of 32,2,13,Michigan,Georgia,1,8,1,8
Round of 32,2,14,Texas Tech,Alabama,5,4,5,4
Round of 32,2,15,Tennessee,Virginia,6,3,6,3
Round of 32,2,16,Kentucky,Iowa State,7,2,7,2
Sweet 16,3,1,Duke,Kansas,1,4,1,4
Sweet 16,3,2,Michigan State,Connecticut,3,2,3,2
Sweet 16,3,3,Florida,Nebraska,1,4,1,4
Sweet 16,3,4,Illinois,Houston,3,2,3,2
Sweet 16,3,5,Arizona,Arkansas,1,4,1,4
Sweet 16,3,6,Gonzaga,Purdue,3,2,3,2
Sweet 16,3,7,Michigan,Alabama,1,4,1,4
Sweet 16,3,8,Virginia,Iowa State,3,2,3,2
Elite 8,4,1,Duke,Connecticut,1,2,1,2
Elite 8,4,2,Florida,Houston,1,2,1,2
Elite 8,4,3,Arizona,Purdue,1,2,1,2
Elite 8,4,4,Michigan,Iowa State,1,2,1,2
Final 4,5,1,Duke,Florida,1,1,1,1
Final 4,5,2,Arizona,Michigan,1,1,1,1
Championship,6,1,Duke,Arizona,1,1,1,1
Champion,7,1,Duke,---,1,---,1,---
